105,PLAZA DE CIUDAD LINEAL,BARAJAS;
106,PLAZA DE MANUEL BECERRA,VICALVARO;
107,PLAZA DE CASTILLA,HORTALEZA;
108,OPORTO,CEMENTERIO DE CARABANCHEL;
109,PLAZA DE CIUDAD LINEAL,CASTILLO DE UCLES;
110,PLAZA DE MANUEL BECERRA,CEMENTERIO DE LA ALMUDENA;
111,PUENTE DE VALLECAS,ENTREVIAS;
112,MAR DE CRISTAL,BARRIO DEL AEROPUERTO;
113,MENDEZ ALVARO,PLAZA DE CIUDAD LINEAL;
114,AVENIDA DE AMERICA,BARRIO DEL AEROPUERTO;
115,AVENIDA DE AMERICA,BARAJAS;
116,GLORIETA DE EMBAJADORES,VILLAVERDE CRUCE;
117,ALUCHE,COLONIA SAN IGNACIO DE LOYOLA;
118,GLORIETA DE EMBAJADORES,AVENIDA DE LA PESETA;
119,ATOCHA,BARRIO DE GOYA;
120,PLAZA DE LIMA,HORTALEZA;
121,CAMPAMENTO,HOSPITAL 12 DE OCTUBRE;
122,AVENIDA DE AMERICA,CAMPO DE LAS NACIONES;
123,PLAZA DE LEGAZPI,VILLAVERDE BAJO;
124,GLORIETA DE CUATRO CAMINOS,LACOMA;
125,MAR DE CRISTAL,HOSPITAL RAMON Y CAJAL;
126,NUEVOS MINISTERIOS,BARRIO DEL PILAR;
127,GLORIETA DE CUATRO CAMINOS,CIUDAD DE LOS PERIODISTAS;
128,GLORIETA DE CUATRO CAMINOS,BARRIO DEL PILAR;
129,PLAZA DE CASTILLA,MANOTERAS;
130,VILLAVERDE ALTO,VICALVARO;
131,CAMPAMENTO,VILLAVERDE ALTO;
132,MONCLOA,HOSPITAL LA PAZ;
133,PLAZA DEL CALLAO,MIRASIERRA;
134,PLAZA DE CASTILLA|VAGUADA,MONTECARMELO;
135,PLAZA DE CASTILLA,HOSPITAL RAMON Y CAJAL;
136,PACIFICO,MADRID SUR;
137,CIUDAD PUERTA DE HIERRO,FUENCARRAL;
138,PLAZA DE ESPAÑA,ALUCHE;
139,DEHESA DEL PRINCIPE,CARABANCHEL ALTO;
140,PAVONES,CANILLEJAS;
141,ATOCHA RENFE,BUENOS AIRES;
